Gene stable ID	Gene stable ID version	Gene description	Gene name
ENSG00000210049	ENSG00000210049.1	mitochondrially encoded tRNA-Phe (UUU/C) [Source:HGNC Symbol;Acc:HGNC:7481]	MT-TF
ENSG00000211459	ENSG00000211459.2	mitochondrially encoded 12S rRNA [Source:HGNC Symbol;Acc:HGNC:7470]	MT-RNR1
ENSG00000210077	ENSG00000210077.1	mitochondrially encoded tRNA-Val (GUN) [Source:HGNC Symbol;Acc:HGNC:7500]	MT-TV
ENSG00000210082	ENSG00000210082.2	mitochondrially encoded 16S rRNA [Source:HGNC Symbol;Acc:HGNC:7471]	MT-RNR2
ENSG00000209082	ENSG00000209082.1	mitochondrially encoded tRNA-Leu (UUA/G) 1 [Source:HGNC Symbol;Acc:HGNC:7490]	MT-TL1
ENSG00000198888	ENSG00000198888.2	mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 1 [Source:HGNC Symbol;Acc:HGNC:7455]	MT-ND1
ENSG00000210100	ENSG00000210100.1	mitochondrially encoded tRNA-Ile (AUU/C) [Source:HGNC Symbol;Acc:HGNC:7488]	MT-TI
ENSG00000210107	ENSG00000210107.1	mitochondrially encoded tRNA-Gln (CAA/G) [Source:HGNC Symbol;Acc:HGNC:7495]	MT-TQ
ENSG00000210112	ENSG00000210112.1	mitochondrially encoded tRNA-Met (AUA/G) [Source:HGNC Symbol;Acc:HGNC:7492]	MT-TM
ENSG00000198763	ENSG00000198763.3	mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 2 [Source:HGNC Symbol;Acc:HGNC:7456]	MT-ND2
ENSG00000210117	ENSG00000210117.1	mitochondrially encoded tRNA-Trp (UGA/G) [Source:HGNC Symbol;Acc:HGNC:7501]	MT-TW
ENSG00000210127	ENSG00000210127.1	mitochondrially encoded tRNA-Ala (GCN) [Source:HGNC Symbol;Acc:HGNC:7475]	MT-TA
ENSG00000210135	ENSG00000210135.1	mitochondrially encoded tRNA-Asn (AAU/C) [Source:HGNC Symbol;Acc:HGNC:7493]	MT-TN
ENSG00000210140	ENSG00000210140.1	mitochondrially encoded tRNA-Cys (UGU/C) [Source:HGNC Symbol;Acc:HGNC:7477]	MT-TC
ENSG00000210144	ENSG00000210144.1	mitochondrially encoded tRNA-Tyr (UAU/C) [Source:HGNC Symbol;Acc:HGNC:7502]	MT-TY
ENSG00000198804	ENSG00000198804.2	mitochondrially encoded cytochrome c oxidase I [Source:HGNC Symbol;Acc:HGNC:7419]	MT-CO1
ENSG00000210151	ENSG00000210151.2	mitochondrially encoded tRNA-Ser (UCN) 1 [Source:HGNC Symbol;Acc:HGNC:7497]	MT-TS1
ENSG00000210154	ENSG00000210154.1	mitochondrially encoded tRNA-Asp (GAU/C) [Source:HGNC Symbol;Acc:HGNC:7478]	MT-TD
ENSG00000198712	ENSG00000198712.1	mitochondrially encoded cytochrome c oxidase II [Source:HGNC Symbol;Acc:HGNC:7421]	MT-CO2
ENSG00000210156	ENSG00000210156.1	mitochondrially encoded tRNA-Lys (AAA/G) [Source:HGNC Symbol;Acc:HGNC:7489]	MT-TK
ENSG00000228253	ENSG00000228253.1	mitochondrially encoded ATP synthase membrane subunit 8 [Source:HGNC Symbol;Acc:HGNC:7415]	MT-ATP8
ENSG00000198899	ENSG00000198899.2	mitochondrially encoded ATP synthase membrane subunit 6 [Source:HGNC Symbol;Acc:HGNC:7414]	MT-ATP6
ENSG00000198938	ENSG00000198938.2	mitochondrially encoded cytochrome c oxidase III [Source:HGNC Symbol;Acc:HGNC:7422]	MT-CO3
ENSG00000210164	ENSG00000210164.1	mitochondrially encoded tRNA-Gly (GGN) [Source:HGNC Symbol;Acc:HGNC:7486]	MT-TG
ENSG00000198840	ENSG00000198840.2	mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 3 [Source:HGNC Symbol;Acc:HGNC:7458]	MT-ND3
ENSG00000210174	ENSG00000210174.1	mitochondrially encoded tRNA-Arg (CGN) [Source:HGNC Symbol;Acc:HGNC:7496]	MT-TR
ENSG00000212907	ENSG00000212907.2	mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 4L [Source:HGNC Symbol;Acc:HGNC:7460]	MT-ND4L
ENSG00000198886	ENSG00000198886.2	mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 4 [Source:HGNC Symbol;Acc:HGNC:7459]	MT-ND4
ENSG00000210176	ENSG00000210176.1	mitochondrially encoded tRNA-His (CAU/C) [Source:HGNC Symbol;Acc:HGNC:7487]	MT-TH
ENSG00000210184	ENSG00000210184.1	mitochondrially encoded tRNA-Ser (AGU/C) 2 [Source:HGNC Symbol;Acc:HGNC:7498]	MT-TS2
ENSG00000210191	ENSG00000210191.1	mitochondrially encoded tRNA-Leu (CUN) 2 [Source:HGNC Symbol;Acc:HGNC:7491]	MT-TL2
ENSG00000198786	ENSG00000198786.2	mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 5 [Source:HGNC Symbol;Acc:HGNC:7461]	MT-ND5
ENSG00000198695	ENSG00000198695.2	mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 6 [Source:HGNC Symbol;Acc:HGNC:7462]	MT-ND6
ENSG00000210194	ENSG00000210194.1	mitochondrially encoded tRNA-Glu (GAA/G) [Source:HGNC Symbol;Acc:HGNC:7479]	MT-TE
ENSG00000198727	ENSG00000198727.2	mitochondrially encoded cytochrome b [Source:HGNC Symbol;Acc:HGNC:7427]	MT-CYB
ENSG00000210195	ENSG00000210195.2	mitochondrially encoded tRNA-Thr (ACN) [Source:HGNC Symbol;Acc:HGNC:7499]	MT-TT
ENSG00000210196	ENSG00000210196.2	mitochondrially encoded tRNA-Pro (CCN) [Source:HGNC Symbol;Acc:HGNC:7494]	MT-TP
ENSG00000278457	ENSG00000278457.1	5S ribosomal RNA [Source:RFAM;Acc:RF00001]	5S_rRNA
ENSG00000278704	ENSG00000278704.1		
ENSG00000271254	ENSG00000271254.7		
ENSG00000280538	ENSG00000280538.1	novel transcript	
ENSG00000275151	ENSG00000275151.1	aldehyde dehydrogenase 6 family, member A1 (ALDH6A1) pseudogene	
ENSG00000278294	ENSG00000278294.1	5.8S ribosomal RNA [Source:RFAM;Acc:RF00002]	5_8S_rRNA
ENSG00000281806	ENSG00000281806.1	novel transcript	
ENSG00000279969	ENSG00000279969.1	novel transcript	
ENSG00000281362	ENSG00000281362.1	long intergenic non-protein coding RNA 1115 [Source:NCBI gene (formerly Entrezgene);Acc:339822]	LINC01115
ENSG00000274882	ENSG00000274882.4	long intergenic non-protein coding RNA 2109 [Source:HGNC Symbol;Acc:HGNC:52964]	LINC02109
ENSG00000277995	ENSG00000277995.1		
ENSG00000281486	ENSG00000281486.1	syntrophin gamma 2 [Source:HGNC Symbol;Acc:HGNC:13741]	SNTG2
ENSG00000262826	ENSG00000262826.5	integrator complex subunit 3 [Source:HGNC Symbol;Acc:HGNC:26153]	INTS3
ENSG00000273735	ENSG00000273735.4	killer cell immunoglobulin like receptor, three Ig domains and long cytoplasmic tail 2 [Source:HGNC Symbol;Acc:HGNC:6339]	KIR3DL2
ENSG00000280663	ENSG00000280663.4	protein-L-isoaspartate (D-aspartate) O-methyltransferase domain containing 2 [Source:HGNC Symbol;Acc:HGNC:15882]	PCMTD2
ENSG00000276433	ENSG00000276433.1	killer cell immunoglobulin like receptor, three Ig domains and long cytoplasmic tail 3 [Source:HGNC Symbol;Acc:HGNC:16312]	KIR3DL3
ENSG00000276379	ENSG00000276379.1	killer cell immunoglobulin like receptor, three Ig domains and long cytoplasmic tail 1 [Source:HGNC Symbol;Acc:HGNC:6338]	KIR3DL1
ENSG00000278788	ENSG00000278788.4	strawberry notch homolog 2 [Source:HGNC Symbol;Acc:HGNC:29158]	SBNO2
ENSG00000273947	ENSG00000273947.5	killer cell immunoglobulin like receptor, two Ig domains and long cytoplasmic tail 3 [Source:HGNC Symbol;Acc:HGNC:6331]	KIR2DL3
ENSG00000276595	ENSG00000276595.4	patched domain containing 3 (gene/pseudogene) [Source:HGNC Symbol;Acc:HGNC:24776]	PTCHD3
ENSG00000274861	ENSG00000274861.4	leukocyte immunoglobulin-like receptor pseudogene 2 [Source:HGNC Symbol;Acc:HGNC:15497]	LILRP2
ENSG00000275442	ENSG00000275442.4	leukocyte immunoglobulin-like receptor pseudogene 2 [Source:HGNC Symbol;Acc:HGNC:15497]	LILRP2
ENSG00000276518	ENSG00000276518.1	killer cell immunoglobulin like receptor, three Ig domains pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:16343]	KIR3DP1
ENSG00000276779	ENSG00000276779.1	killer cell immunoglobulin like receptor, two Ig domains and long cytoplasmic tail 4 [Source:HGNC Symbol;Acc:HGNC:6332]	KIR2DL4
ENSG00000278152	ENSG00000278152.2	killer cell immunoglobulin like receptor, two Ig domains and short cytoplasmic tail 2 [Source:HGNC Symbol;Acc:HGNC:6334]	KIR2DS2
ENSG00000274339	ENSG00000274339.1	leukocyte immunoglobulin-like receptor pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:15496]	LILRP1
ENSG00000275336	ENSG00000275336.1	pseudogene similar to part of breast cancer antigen NY-BR-1 (NY-BR-1)	
ENSG00000277484	ENSG00000277484.5	killer cell immunoglobulin like receptor, two Ig domains and long cytoplasmic tail 3 [Source:HGNC Symbol;Acc:HGNC:6331]	KIR2DL3
ENSG00000277044	ENSG00000277044.3	opioid related nociceptin receptor 1 [Source:HGNC Symbol;Acc:HGNC:8155]	OPRL1
ENSG00000276777	ENSG00000276777.1	outer dynein arm docking complex subunit 2 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:44937]	ODAD2P1
ENSG00000273775	ENSG00000273775.5	killer cell immunoglobulin like receptor, three Ig domains and long cytoplasmic tail 1 [Source:HGNC Symbol;Acc:HGNC:6338]	KIR3DL1
ENSG00000277267	ENSG00000277267.4	leukocyte immunoglobulin-like receptor pseudogene 2 [Source:HGNC Symbol;Acc:HGNC:15497]	LILRP2
ENSG00000273681	ENSG00000273681.1	family with sequence similarity 210 member C, pseudogene [Source:HGNC Symbol;Acc:HGNC:44938]	FAM210CP
ENSG00000278364	ENSG00000278364.1	TP53 regulated inhibitor of apoptosis 1 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:31659]	TRIAP1P1
ENSG00000273501	ENSG00000273501.1	U6 spliceosomal RNA [Source:RFAM;Acc:RF00026]	U6
ENSG00000276858	ENSG00000276858.4	Fc alpha receptor [Source:HGNC Symbol;Acc:HGNC:3608]	FCAR
ENSG00000278036	ENSG00000278036.1	U6 spliceosomal RNA [Source:RFAM;Acc:RF00026]	U6
ENSG00000277339	ENSG00000277339.2	neuropeptides B and W receptor 2 [Source:HGNC Symbol;Acc:HGNC:4530]	NPBWR2
ENSG00000276534	ENSG00000276534.5	killer cell immunoglobulin like receptor, three Ig domains and short cytoplasmic tail 1 [Source:HGNC Symbol;Acc:HGNC:6340]	KIR3DS1
ENSG00000280579	ENSG00000280579.1	novel transcript	
ENSG00000280695	ENSG00000280695.1	novel transcript	
ENSG00000277921	ENSG00000277921.1	leukocyte immunoglobulin-like receptor pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:15496]	LILRP1
ENSG00000276044	ENSG00000276044.4	killer cell immunoglobulin like receptor, two Ig domains and long cytoplasmic tail 4 [Source:HGNC Symbol;Acc:HGNC:6332]	KIR2DL4
ENSG00000276970	ENSG00000276970.1	novel killer cell immunoglobulin-like receptor protein pseudogene	
ENSG00000276876	ENSG00000276876.4	myelin transcription factor 1 [Source:HGNC Symbol;Acc:HGNC:7622]	MYT1
ENSG00000275717	ENSG00000275717.5	killer cell immunoglobulin like receptor, three Ig domains and long cytoplasmic tail 1 [Source:HGNC Symbol;Acc:HGNC:6338]	KIR3DL1
ENSG00000277554	ENSG00000277554.5	killer cell immunoglobulin like receptor, two Ig domains and long cytoplasmic tail 3 [Source:HGNC Symbol;Acc:HGNC:6331]	KIR2DL3
ENSG00000280708	ENSG00000280708.1	novel transcript	
ENSG00000277272	ENSG00000277272.5	killer cell immunoglobulin like receptor, three Ig domains and long cytoplasmic tail 1 [Source:HGNC Symbol;Acc:HGNC:6338]	KIR3DL1
ENSG00000278074	ENSG00000278074.1	killer cell immunoglobulin like receptor, two Ig domains and long cytoplasmic tail 4 [Source:HGNC Symbol;Acc:HGNC:6332]	KIR2DL4
ENSG00000281416	ENSG00000281416.1	novel transcript	
ENSG00000275974	ENSG00000275974.2	peptidylprolyl isomerase A like 4F [Source:HGNC Symbol;Acc:HGNC:33999]	PPIAL4F
ENSG00000276885	ENSG00000276885.1	killer cell immunoglobulin like receptor, two Ig domains and short cytoplasmic tail 4 [Source:HGNC Symbol;Acc:HGNC:6336]	KIR2DS4
ENSG00000262025	ENSG00000262025.1	adipose differentiation-related protein (ADFP) pseudogene	
ENSG00000263275	ENSG00000263275.1	novel transcript	
ENSG00000273510	ENSG00000273510.1	killer cell immunoglobulin like receptor, two Ig domains and long cytoplasmic tail 1 [Source:HGNC Symbol;Acc:HGNC:6329]	KIR2DL1
ENSG00000262299	ENSG00000262299.1	immunoglobulin superfamily, DCC subclass, member 3 (IGDCC3) pseudogene	
ENSG00000280460	ENSG00000280460.1	novel transcript with similarity to B melanoma antigen family, member 2 BAGE2	
ENSG00000262767	ENSG00000262767.1	gem nuclear organelle associated protein 2 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:49561]	GEMIN2P1
ENSG00000275786	ENSG00000275786.5	killer cell immunoglobulin like receptor, three Ig domains and long cytoplasmic tail 1 [Source:HGNC Symbol;Acc:HGNC:6338]	KIR3DL1
ENSG00000274714	ENSG00000274714.1	killer cell immunoglobulin like receptor, two Ig domains and short cytoplasmic tail 4 [Source:HGNC Symbol;Acc:HGNC:6336]	KIR2DS4
ENSG00000274574	ENSG00000274574.1	U1 spliceosomal RNA [Source:RFAM;Acc:RF00003]	U1
ENSG00000261992	ENSG00000261992.2	GATA zinc finger domain containing 2B [Source:HGNC Symbol;Acc:HGNC:30778]	GATAD2B
ENSG00000282507	ENSG00000282507.1	novel transcript	
ENSG00000273990	ENSG00000273990.1	RNA, variant U1 small nuclear 26 [Source:HGNC Symbol;Acc:HGNC:54429]	RNVU1-26
ENSG00000277334	ENSG00000277334.4	natural cytotoxicity triggering receptor 1 [Source:HGNC Symbol;Acc:HGNC:6731]	NCR1
ENSG00000273757	ENSG00000273757.1	RNA, variant U1 small nuclear 2A [Source:HGNC Symbol;Acc:HGNC:54430]	RNVU1-2A
ENSG00000277650	ENSG00000277650.1	killer cell immunoglobulin like receptor, two Ig domains and short cytoplasmic tail 5 [Source:HGNC Symbol;Acc:HGNC:6337]	KIR2DS5
ENSG00000273661	ENSG00000273661.5	killer cell immunoglobulin like receptor, two Ig domains and long cytoplasmic tail 2 [Source:HGNC Symbol;Acc:HGNC:6330]	KIR2DL2
ENSG00000277355	ENSG00000277355.4	killer cell immunoglobulin like receptor, two Ig domains and long cytoplasmic tail 4 [Source:HGNC Symbol;Acc:HGNC:6332]	KIR2DL4
ENSG00000275047	ENSG00000275047.1	killer cell immunoglobulin like receptor, two Ig domains and short cytoplasmic tail 5 [Source:HGNC Symbol;Acc:HGNC:6337]	KIR2DS5
ENSG00000274807	ENSG00000274807.4	killer cell immunoglobulin like receptor, two Ig domains and short cytoplasmic tail 4 [Source:HGNC Symbol;Acc:HGNC:6336]	KIR2DS4
ENSG00000274696	ENSG00000274696.2	killer cell immunoglobulin like receptor, three Ig domains and long cytoplasmic tail 3 [Source:HGNC Symbol;Acc:HGNC:16312]	KIR3DL3
ENSG00000282469	ENSG00000282469.1	long intergenic non-protein coding RNA 254 [Source:HGNC Symbol;Acc:HGNC:14160]	LINC00254
ENSG00000274271	ENSG00000274271.1	leukocyte immunoglobulin-like receptor pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:15496]	LILRP1
ENSG00000275511	ENSG00000275511.4	killer cell immunoglobulin like receptor, three Ig domains and long cytoplasmic tail 2 [Source:HGNC Symbol;Acc:HGNC:6339]	KIR3DL2
ENSG00000276333	ENSG00000276333.2	heparan sulfate-glucosamine 3-sulfotransferase 6 [Source:HGNC Symbol;Acc:HGNC:14178]	HS3ST6
ENSG00000274676	ENSG00000274676.1	killer cell immunoglobulin like receptor, two Ig domains and long cytoplasmic tail 5A [Source:HGNC Symbol;Acc:HGNC:16345]	KIR2DL5A
ENSG00000275237	ENSG00000275237.4	killer cell immunoglobulin like receptor, two Ig domains and long cytoplasmic tail 4 [Source:HGNC Symbol;Acc:HGNC:6332]	KIR2DL4
ENSG00000277078	ENSG00000277078.1	killer cell immunoglobulin like receptor, two Ig domains and short cytoplasmic tail 4 [Source:HGNC Symbol;Acc:HGNC:6336]	KIR2DS4
ENSG00000282650	ENSG00000282650.1	meiosis specific with OB-fold [Source:HGNC Symbol;Acc:HGNC:28569]	MEIOB
ENSG00000275659	ENSG00000275659.5	killer cell immunoglobulin like receptor, three Ig domains and long cytoplasmic tail 1 [Source:HGNC Symbol;Acc:HGNC:6338]	KIR3DL1
ENSG00000263130	ENSG00000263130.1	novel transcript	
ENSG00000273575	ENSG00000273575.4	killer cell immunoglobulin like receptor, two Ig domains and long cytoplasmic tail 4 [Source:HGNC Symbol;Acc:HGNC:6332]	KIR2DL4
ENSG00000263163	ENSG00000263163.5	solute carrier family 27 member 3 [Source:HGNC Symbol;Acc:HGNC:10997]	SLC27A3
ENSG00000282069	ENSG00000282069.1	long intergenic non-protein coding RNA 2124 [Source:HGNC Symbol;Acc:HGNC:52981]	LINC02124
ENSG00000275407	ENSG00000275407.1	killer cell immunoglobulin like receptor, two Ig domains and long cytoplasmic tail 2 [Source:HGNC Symbol;Acc:HGNC:6330]	KIR2DL2
ENSG00000274826	ENSG00000274826.4	leukocyte immunoglobulin-like receptor pseudogene 2 [Source:HGNC Symbol;Acc:HGNC:15497]	LILRP2
ENSG00000278805	ENSG00000278805.1	killer cell immunoglobulin like receptor, two Ig domains and long cytoplasmic tail 1 [Source:HGNC Symbol;Acc:HGNC:6329]	KIR2DL1
ENSG00000275699	ENSG00000275699.4	killer cell immunoglobulin like receptor, two Ig domains and long cytoplasmic tail 4 [Source:HGNC Symbol;Acc:HGNC:6332]	KIR2DL4
ENSG00000277345	ENSG00000277345.1	killer cell immunoglobulin like receptor, two Ig domains and short cytoplasmic tail 4 [Source:HGNC Symbol;Acc:HGNC:6336]	KIR2DS4
ENSG00000274324	ENSG00000274324.1	killer cell immunoglobulin like receptor, two Ig domains and short cytoplasmic tail 4 [Source:HGNC Symbol;Acc:HGNC:6336]	KIR2DS4
ENSG00000276820	ENSG00000276820.1	killer cell immunoglobulin like receptor, two Ig domains and long cytoplasmic tail 1 [Source:HGNC Symbol;Acc:HGNC:6329]	KIR2DL1
ENSG00000276423	ENSG00000276423.6	killer cell immunoglobulin like receptor, three Ig domains and long cytoplasmic tail 1 [Source:HGNC Symbol;Acc:HGNC:6338]	KIR3DL1
ENSG00000281738	ENSG00000281738.1	long intergenic non-protein coding RNA 1839 [Source:HGNC Symbol;Acc:HGNC:41330]	LINC01839
ENSG00000274130	ENSG00000274130.1	killer cell immunoglobulin-like receptor family pseudogene	
ENSG00000276424	ENSG00000276424.4	killer cell immunoglobulin like receptor, three Ig domains and long cytoplasmic tail 2 [Source:HGNC Symbol;Acc:HGNC:6339]	KIR3DL2
ENSG00000273526	ENSG00000273526.1	killer cell immunoglobulin like receptor, two Ig domains and short cytoplasmic tail 4 [Source:HGNC Symbol;Acc:HGNC:6336]	KIR2DS4
ENSG00000274193	ENSG00000274193.4	killer cell immunoglobulin like receptor, two Ig domains and long cytoplasmic tail 4 [Source:HGNC Symbol;Acc:HGNC:6332]	KIR2DL4
ENSG00000278306	ENSG00000278306.1	killer cell immunoglobulin like receptor, two Ig domains and short cytoplasmic tail 3 [Source:HGNC Symbol;Acc:HGNC:6335]	KIR2DS3
ENSG00000278345	ENSG00000278345.1	novel killer cell immunoglobulin-like receptor protein pseudogene	
ENSG00000276328	ENSG00000276328.1	killer cell immunoglobulin like receptor, three Ig domains and long cytoplasmic tail 3 [Source:HGNC Symbol;Acc:HGNC:16312]	KIR3DL3
ENSG00000281250	ENSG00000281250.1	long intergenic non-protein coding RNA 2054 [Source:HGNC Symbol;Acc:HGNC:52894]	LINC02054
ENSG00000278731	ENSG00000278731.5	killer cell immunoglobulin like receptor, two Ig domains and long cytoplasmic tail 2 [Source:HGNC Symbol;Acc:HGNC:6330]	KIR2DL2
ENSG00000274782	ENSG00000274782.1	killer cell immunoglobulin like receptor, two Ig domains and long cytoplasmic tail 1 [Source:HGNC Symbol;Acc:HGNC:6329]	KIR2DL1
ENSG00000275080	ENSG00000275080.5	killer cell immunoglobulin like receptor, two Ig domains and long cytoplasmic tail 1 [Source:HGNC Symbol;Acc:HGNC:6329]	KIR2DL1
ENSG00000275433	ENSG00000275433.1	killer cell immunoglobulin like receptor, three Ig domains and long cytoplasmic tail 3 [Source:HGNC Symbol;Acc:HGNC:16312]	KIR3DL3
ENSG00000275732	ENSG00000275732.4	killer cell immunoglobulin like receptor, two Ig domains and long cytoplasmic tail 4 [Source:HGNC Symbol;Acc:HGNC:6332]	KIR2DL4
ENSG00000277620	ENSG00000277620.1	killer cell immunoglobulin like receptor, three Ig domains and long cytoplasmic tail 3 [Source:HGNC Symbol;Acc:HGNC:16312]	KIR3DL3
ENSG00000273738	ENSG00000273738.4	Fc alpha receptor [Source:HGNC Symbol;Acc:HGNC:3608]	FCAR
ENSG00000280830	ENSG00000280830.1	acireductone dioxygenase 1 [Source:HGNC Symbol;Acc:HGNC:30576]	ADI1
ENSG00000274891	ENSG00000274891.3	trafficking protein particle complex subunit 12 [Source:HGNC Symbol;Acc:HGNC:24284]	TRAPPC12
ENSG00000274948	ENSG00000274948.5	killer cell immunoglobulin like receptor, three Ig domains and long cytoplasmic tail 1 [Source:HGNC Symbol;Acc:HGNC:6338]	KIR3DL1
ENSG00000262647	ENSG00000262647.3	olfactory receptor family 9 subfamily G member 4 [Source:HGNC Symbol;Acc:HGNC:15322]	OR9G4
ENSG00000281107	ENSG00000281107.1	olfactory receptor family 5 subfamily G member 3 (gene/pseudogene) [Source:HGNC Symbol;Acc:HGNC:15287]	OR5G3
ENSG00000262268	ENSG00000262268.3	olfactory receptor family 9 subfamily G member 3 pseudogene [Source:HGNC Symbol;Acc:HGNC:15321]	OR9G3P
ENSG00000281313	ENSG00000281313.1	olfactory receptor family 5 subfamily G member 1 pseudogene [Source:HGNC Symbol;Acc:HGNC:8344]	OR5G1P
ENSG00000281279	ENSG00000281279.1	olfactory receptor family 5 subfamily G member 4 pseudogene [Source:HGNC Symbol;Acc:HGNC:15288]	OR5G4P
ENSG00000275018	ENSG00000275018.6	novel transcript	
ENSG00000281777	ENSG00000281777.1	olfactory receptor family 9 subfamily G member 2 pseudogene [Source:HGNC Symbol;Acc:HGNC:15320]	OR9G2P
ENSG00000261958	ENSG00000261958.1	olfactory receptor family 9 subfamily G member 1 [Source:HGNC Symbol;Acc:HGNC:15319]	OR9G1
ENSG00000281683	ENSG00000281683.1	GNAS complex locus (GNAS) pseudogene	
ENSG00000278625	ENSG00000278625.1	U6 spliceosomal RNA [Source:RFAM;Acc:RF00026]	U6
ENSG00000262191	ENSG00000262191.1	olfactory receptor family 9 subfamily G member 9 [Source:HGNC Symbol;Acc:HGNC:31940]	OR9G9
ENSG00000277742	ENSG00000277742.1	killer cell immunoglobulin like receptor, three Ig domains pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:16343]	KIR3DP1
ENSG00000274851	ENSG00000274851.1	killer cell immunoglobulin like receptor, two Ig domains pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:16344]	KIR2DP1
ENSG00000281839	ENSG00000281839.1	long intergenic non-protein coding RNA 2735 [Source:HGNC Symbol;Acc:HGNC:54252]	LINC02735
ENSG00000275938	ENSG00000275938.1	killer cell immunoglobulin like receptor, two Ig domains and short cytoplasmic tail 4 [Source:HGNC Symbol;Acc:HGNC:6336]	KIR2DS4
ENSG00000273688	ENSG00000273688.1	killer cell immunoglobulin like receptor, three Ig domains pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:16343]	KIR3DP1
ENSG00000262535	ENSG00000262535.6	olfactory receptor family 5 subfamily G member 5 pseudogene [Source:HGNC Symbol;Acc:HGNC:15289]	OR5G5P
ENSG00000277570	ENSG00000277570.1	leukocyte immunoglobulin-like receptor pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:15496]	LILRP1
ENSG00000290500	ENSG00000290500.1	novel transcript	
ENSG00000276306	ENSG00000276306.1	killer cell immunoglobulin-like receptor family pseudogene	
ENSG00000274955	ENSG00000274955.4	killer cell immunoglobulin like receptor, two Ig domains and long cytoplasmic tail 4 [Source:HGNC Symbol;Acc:HGNC:6332]	KIR2DL4
ENSG00000277317	ENSG00000277317.5	killer cell immunoglobulin like receptor, two Ig domains and long cytoplasmic tail 3 [Source:HGNC Symbol;Acc:HGNC:6331]	KIR2DL3
ENSG00000280770	ENSG00000280770.1	novel transcript sense intronic to TRAPPC12	
ENSG00000262994	ENSG00000262994.1	gem (nuclear organelle) associated protein 2 (GEMIN2) pseudogene	
ENSG00000277070	ENSG00000277070.1	leukocyte immunoglobulin-like receptor pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:15496]	LILRP1
ENSG00000281723	ENSG00000281723.1	novel transcript, antisense to ADI1	
ENSG00000276974	ENSG00000276974.1	killer cell immunoglobulin-like receptor family pseudogene	
ENSG00000269823	ENSG00000269823.1		
ENSG00000276676	ENSG00000276676.5	killer cell immunoglobulin like receptor, two Ig domains and short cytoplasmic tail 5 [Source:HGNC Symbol;Acc:HGNC:6337]	KIR2DS5
ENSG00000278325	ENSG00000278325.1	leukocyte immunoglobulin-like receptor pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:15496]	LILRP1
ENSG00000276930	ENSG00000276930.1	killer cell immunoglobulin like receptor, three Ig domains and long cytoplasmic tail 3 [Source:HGNC Symbol;Acc:HGNC:16312]	KIR3DL3
ENSG00000262710	ENSG00000262710.1	Y RNA [Source:RFAM;Acc:RF00019]	Y_RNA
ENSG00000275289	ENSG00000275289.4	leukocyte immunoglobulin-like receptor pseudogene 2 [Source:HGNC Symbol;Acc:HGNC:15497]	LILRP2
ENSG00000262469	ENSG00000262469.1	Y RNA [Source:RFAM;Acc:RF00019]	Y_RNA
ENSG00000277616	ENSG00000277616.1	killer cell immunoglobulin like receptor, two Ig domains and long cytoplasmic tail 1 [Source:HGNC Symbol;Acc:HGNC:6329]	KIR2DL1
ENSG00000277376	ENSG00000277376.1	killer cell immunoglobulin like receptor, two Ig domains pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:16344]	KIR2DP1
ENSG00000276295	ENSG00000276295.1	Metazoan signal recognition particle RNA [Source:RFAM;Acc:RF00017]	Metazoa_SRP
ENSG00000274163	ENSG00000274163.1	killer cell immunoglobulin like receptor, three Ig domains pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:16343]	KIR3DP1
ENSG00000275531	ENSG00000275531.1	Metazoan signal recognition particle RNA [Source:RFAM;Acc:RF00017]	Metazoa_SRP
ENSG00000274842	ENSG00000274842.4	leukocyte immunoglobulin-like receptor pseudogene 2 [Source:HGNC Symbol;Acc:HGNC:15497]	LILRP2
ENSG00000276258	ENSG00000276258.1	killer cell immunoglobulin like receptor, two Ig domains and short cytoplasmic tail 2 [Source:HGNC Symbol;Acc:HGNC:6334]	KIR2DS2
ENSG00000273881	ENSG00000273881.1	leukocyte immunoglobulin-like receptor pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:15496]	LILRP1
ENSG00000277940	ENSG00000277940.1	killer cell immunoglobulin-like receptor family pseudogene	
