Gene stable ID	Gene stable ID version	Gene description	Gene name
ENSG00000101441	ENSG00000101441.5	cystatin S [Source:HGNC Symbol;Acc:HGNC:2476]	CST4
ENSG00000236303	ENSG00000236303.4	long intergenic non-protein coding RNA 2646 [Source:HGNC Symbol;Acc:HGNC:54130]	LINC02646
ENSG00000232314	ENSG00000232314.1	proteasome 26S subunit, ATPase 1 pseudogene 13 [Source:HGNC Symbol;Acc:HGNC:39788]	PSMC1P13
ENSG00000230223	ENSG00000230223.8	ATXN8 opposite strand lncRNA [Source:HGNC Symbol;Acc:HGNC:10561]	ATXN8OS
ENSG00000276375	ENSG00000276375.1	zinc finger protein pseudogene	
ENSG00000249624	ENSG00000249624.10	novel protein	
ENSG00000235198	ENSG00000235198.1	novel transcript	
ENSG00000188013	ENSG00000188013.6	Meis homeobox 3 pseudogene 2 [Source:HGNC Symbol;Acc:HGNC:17638]	MEIS3P2
ENSG00000171940	ENSG00000171940.14	zinc finger protein 217 [Source:HGNC Symbol;Acc:HGNC:13009]	ZNF217
ENSG00000102572	ENSG00000102572.15	serine/threonine kinase 24 [Source:HGNC Symbol;Acc:HGNC:11403]	STK24
ENSG00000263312	ENSG00000263312.1	long intergenic non-protein coding RNA 1975 [Source:HGNC Symbol;Acc:HGNC:52802]	LINC01975
ENSG00000288172	ENSG00000288172.1	novel transcript	
ENSG00000242752	ENSG00000242752.3	nuclear-encoded mitochondrial tRNA-Gln (TTG) 12-1 [Source:HGNC Symbol;Acc:HGNC:35051]	NMTRQ-TTG12-1
ENSG00000196865	ENSG00000196865.4	NHL repeat containing 2 [Source:HGNC Symbol;Acc:HGNC:24731]	NHLRC2
ENSG00000108590	ENSG00000108590.11	mediator complex subunit 31 [Source:HGNC Symbol;Acc:HGNC:24260]	MED31
ENSG00000272396	ENSG00000272396.1	novel transcript, antisense to CD177	
ENSG00000268713	ENSG00000268713.1	novel transcript	
ENSG00000227438	ENSG00000227438.1	COL6A2 divergent transcript [Source:HGNC Symbol;Acc:HGNC:55814]	COL6A2-DT
ENSG00000204933	ENSG00000204933.3	CD177 molecule pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:34508]	CD177P1
ENSG00000142173	ENSG00000142173.17	collagen type VI alpha 2 chain [Source:HGNC Symbol;Acc:HGNC:2212]	COL6A2
ENSG00000196576	ENSG00000196576.16	plexin B2 [Source:HGNC Symbol;Acc:HGNC:9104]	PLXNB2
ENSG00000226439	ENSG00000226439.3	ribosomal protein S12 (RPS12) pseudogene	
ENSG00000105063	ENSG00000105063.19	protein phosphatase 6 regulatory subunit 1 [Source:HGNC Symbol;Acc:HGNC:29195]	PPP6R1
ENSG00000249463	ENSG00000249463.1	novel transcript	
ENSG00000244004	ENSG00000244004.1	RPS3A pseudogene 19 [Source:HGNC Symbol;Acc:HGNC:36467]	RPS3AP19
ENSG00000249262	ENSG00000249262.2	mitochondrial ribosomal protein L19 (MRPL19) pseudogene	
ENSG00000242431	ENSG00000242431.2	ribosomal protein L21 (RPL21) pseudogene	
ENSG00000138650	ENSG00000138650.9	protocadherin 10 [Source:HGNC Symbol;Acc:HGNC:13404]	PCDH10
ENSG00000088854	ENSG00000088854.13	dynein axonemal assembly factor 9 [Source:HGNC Symbol;Acc:HGNC:17721]	DNAAF9
ENSG00000135315	ENSG00000135315.12	centrosomal protein 162 [Source:HGNC Symbol;Acc:HGNC:21107]	CEP162
ENSG00000279825	ENSG00000279825.1	novel transcript	
ENSG00000261868	ENSG00000261868.1	major facilitator superfamily domain containing 1 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:50625]	MFSD1P1
ENSG00000266079	ENSG00000266079.5	small nucleolar RNA, H/ACA box 59B [Source:HGNC Symbol;Acc:HGNC:32658]	SNORA59B
ENSG00000105971	ENSG00000105971.15	caveolin 2 [Source:HGNC Symbol;Acc:HGNC:1528]	CAV2
ENSG00000124422	ENSG00000124422.12	ubiquitin specific peptidase 22 [Source:HGNC Symbol;Acc:HGNC:12621]	USP22
ENSG00000200566	ENSG00000200566.1	RNA, U5F small nuclear 7, pseudogene [Source:HGNC Symbol;Acc:HGNC:42524]	RNU5F-7P
ENSG00000226536	ENSG00000226536.1	SET pseudogene 15 [Source:HGNC Symbol;Acc:HGNC:42934]	SETP15
ENSG00000169188	ENSG00000169188.5	apurinic/apyrimidinic endodeoxyribonuclease 2 [Source:HGNC Symbol;Acc:HGNC:17889]	APEX2
ENSG00000170370	ENSG00000170370.12	empty spiracles homeobox 2 [Source:HGNC Symbol;Acc:HGNC:3341]	EMX2
ENSG00000249012	ENSG00000249012.2	trypsin domain contaiing protein pseudogene	
ENSG00000250375	ENSG00000250375.2	novel transcript	
ENSG00000251022	ENSG00000251022.6	THAP9 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:44172]	THAP9-AS1
ENSG00000182010	ENSG00000182010.11	rhotekin 2 [Source:HGNC Symbol;Acc:HGNC:19364]	RTKN2
ENSG00000135423	ENSG00000135423.13	glutaminase 2 [Source:HGNC Symbol;Acc:HGNC:29570]	GLS2
ENSG00000158578	ENSG00000158578.21	5'-aminolevulinate synthase 2 [Source:HGNC Symbol;Acc:HGNC:397]	ALAS2
ENSG00000200785	ENSG00000200785.1	small nucleolar RNA, C/D box 8 [Source:HGNC Symbol;Acc:HGNC:20159]	SNORD8
ENSG00000241035	ENSG00000241035.2	ubiquitin A-52 residue ribosomal protein fusion product 1 (UBA52) pseudogene	
ENSG00000258870	ENSG00000258870.1	eukaryotic translation initiation factor 4E binding protein 1 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:20160]	EIF4EBP1P1
ENSG00000274475	ENSG00000274475.1	RNA, 7SL, cytoplasmic 650, pseudogene [Source:HGNC Symbol;Acc:HGNC:46666]	RN7SL650P
ENSG00000129472	ENSG00000129472.15	RAB2B, member RAS oncogene family [Source:HGNC Symbol;Acc:HGNC:20246]	RAB2B
ENSG00000271235	ENSG00000271235.1	RRBP1 pseudogene 2 [Source:HGNC Symbol;Acc:HGNC:55608]	RRBP1P2
ENSG00000236452	ENSG00000236452.1	novel transcript	
ENSG00000235482	ENSG00000235482.1	ribosomal protein L21 pseudogene 135 [Source:HGNC Symbol;Acc:HGNC:44539]	RPL21P135
ENSG00000197430	ENSG00000197430.11	oligodendrocytic myelin paranodal and inner loop protein [Source:HGNC Symbol;Acc:HGNC:20707]	OPALIN
ENSG00000163512	ENSG00000163512.14	5-azacytidine induced 2 [Source:HGNC Symbol;Acc:HGNC:24002]	AZI2
ENSG00000124257	ENSG00000124257.7	neuralized E3 ubiquitin protein ligase 2 [Source:HGNC Symbol;Acc:HGNC:16156]	NEURL2
ENSG00000287841	ENSG00000287841.1	novel transcript	
ENSG00000250076	ENSG00000250076.1	MAPRE1 pseudogene 2 [Source:HGNC Symbol;Acc:HGNC:37761]	MAPRE1P2
ENSG00000125779	ENSG00000125779.24	pantothenate kinase 2 [Source:HGNC Symbol;Acc:HGNC:15894]	PANK2
ENSG00000287542	ENSG00000287542.1	HECT and RLD domain containing E3 ubiquitin protein ligase 3 [Source:HGNC Symbol;Acc:HGNC:4876]	HERC3
ENSG00000144228	ENSG00000144228.9	speckle type BTB/POZ protein like [Source:HGNC Symbol;Acc:HGNC:27934]	SPOPL
ENSG00000287932	ENSG00000287932.1	novel transcript, sense intronic to CDK6	
ENSG00000236460	ENSG00000236460.1	sorting nexin 2 pseudogene 2 [Source:HGNC Symbol;Acc:HGNC:41515]	SNX2P2
ENSG00000243144	ENSG00000243144.7	long intergenic non-protein coding RNA 2932 [Source:HGNC Symbol;Acc:HGNC:55875]	LINC02932
ENSG00000170153	ENSG00000170153.11	ring finger protein 150 [Source:HGNC Symbol;Acc:HGNC:23138]	RNF150
ENSG00000136161	ENSG00000136161.13	RCC1 and BTB domain containing protein 2 [Source:HGNC Symbol;Acc:HGNC:1914]	RCBTB2
ENSG00000213744	ENSG00000213744.3	ribosomal protein S10 pseudogene 14 [Source:HGNC Symbol;Acc:HGNC:35880]	RPS10P14
ENSG00000231556	ENSG00000231556.1	ribosomal L24 domain containing 1 pseudogene 3 [Source:HGNC Symbol;Acc:HGNC:37883]	RSL24D1P3
ENSG00000239648	ENSG00000239648.1	MT-ND1 pseudogene 3 [Source:HGNC Symbol;Acc:HGNC:42052]	MTND1P3
ENSG00000226624	ENSG00000226624.1	ribosomal protein L13a (RPL13A) pseudogene	
ENSG00000128590	ENSG00000128590.5	DnaJ heat shock protein family (Hsp40) member B9 [Source:HGNC Symbol;Acc:HGNC:6968]	DNAJB9
ENSG00000258481	ENSG00000258481.1	novel transcript	
ENSG00000201097	ENSG00000201097.1	RNA, U6 small nuclear 366, pseudogene [Source:HGNC Symbol;Acc:HGNC:47329]	RNU6-366P
ENSG00000265519	ENSG00000265519.1	novel transcript	
ENSG00000286630	ENSG00000286630.1	novel transcript	
ENSG00000266664	ENSG00000266664.1	novel transcript	
ENSG00000227225	ENSG00000227225.1	MT-ND1 pseudogene 14 [Source:HGNC Symbol;Acc:HGNC:42063]	MTND1P14
ENSG00000140090	ENSG00000140090.18	solute carrier family 24 member 4 [Source:HGNC Symbol;Acc:HGNC:10978]	SLC24A4
ENSG00000204460	ENSG00000204460.3	long intergenic non-protein coding RNA 1854 [Source:HGNC Symbol;Acc:HGNC:52670]	LINC01854
ENSG00000174697	ENSG00000174697.5	leptin [Source:HGNC Symbol;Acc:HGNC:6553]	LEP
ENSG00000229326	ENSG00000229326.3	ribosomal protein L17 pseudogene 15 [Source:HGNC Symbol;Acc:HGNC:36889]	RPL17P15
ENSG00000171962	ENSG00000171962.18	dynein regulatory complex subunit 3 [Source:HGNC Symbol;Acc:HGNC:25384]	DRC3
ENSG00000204193	ENSG00000204193.11	thioredoxin domain containing 8 [Source:HGNC Symbol;Acc:HGNC:31454]	TXNDC8
ENSG00000235047	ENSG00000235047.1	novel transcript	
ENSG00000237784	ENSG00000237784.1	ribosomal protein S20 pseudogene 12 [Source:HGNC Symbol;Acc:HGNC:36519]	RPS20P12
ENSG00000136542	ENSG00000136542.9	polypeptide N-acetylgalactosaminyltransferase 5 [Source:HGNC Symbol;Acc:HGNC:4127]	GALNT5
ENSG00000230520	ENSG00000230520.1	eukaryotic translation initiation factor 3, subunit I (EIF3I) pseudogene	
ENSG00000230682	ENSG00000230682.1	GRPEL2 pseudogene 3 [Source:HGNC Symbol;Acc:HGNC:41971]	GRPEL2P3
ENSG00000169018	ENSG00000169018.6	fem-1 homolog B [Source:HGNC Symbol;Acc:HGNC:3649]	FEM1B
ENSG00000214415	ENSG00000214415.4	G protein subunit alpha transducin 3 [Source:HGNC Symbol;Acc:HGNC:22800]	GNAT3
ENSG00000287565	ENSG00000287565.1	novel transcript, antisense to RP11-526A4.1	
ENSG00000248510	ENSG00000248510.2	long intergenic non-protein coding RNA 2267 [Source:HGNC Symbol;Acc:HGNC:53181]	LINC02267
ENSG00000279913	ENSG00000279913.1	TEC	
ENSG00000089048	ENSG00000089048.15	ESF1 nucleolar pre-rRNA processing protein homolog [Source:HGNC Symbol;Acc:HGNC:15898]	ESF1
ENSG00000267871	ENSG00000267871.6	ZNF460 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:53774]	ZNF460-AS1
ENSG00000250919	ENSG00000250919.1	UDP glucuronosyltransferase family 2 member B26, pseudogene [Source:HGNC Symbol;Acc:HGNC:12550]	UGT2B26P
ENSG00000232680	ENSG00000232680.2	novel transcript	
ENSG00000197714	ENSG00000197714.9	zinc finger protein 460 [Source:HGNC Symbol;Acc:HGNC:21628]	ZNF460
ENSG00000248434	ENSG00000248434.1	novel transcript	
ENSG00000249764	ENSG00000249764.1	translocase of outer mitochondrial membrane 7 homolog (yeast) (TOMM7) pseudogene	
ENSG00000249000	ENSG00000249000.1	novel transcript	
ENSG00000251266	ENSG00000251266.2	long intergenic non-protein coding RNA 2429 [Source:HGNC Symbol;Acc:HGNC:53360]	LINC02429
ENSG00000273489	ENSG00000273489.1	novel transcript, antisense to MKLN1	
ENSG00000248315	ENSG00000248315.1	MT-ND4L pseudogene 2 [Source:HGNC Symbol;Acc:HGNC:42236]	MTND4LP2
ENSG00000288575	ENSG00000288575.1	novel transcript	
ENSG00000109445	ENSG00000109445.11	zinc finger protein 330 [Source:HGNC Symbol;Acc:HGNC:15462]	ZNF330
ENSG00000140464	ENSG00000140464.20	PML nuclear body scaffold [Source:HGNC Symbol;Acc:HGNC:9113]	PML
ENSG00000237896	ENSG00000237896.6	novel transcript	
ENSG00000244081	ENSG00000244081.1	pseudogene similar to part of tripartite motif-containing 43 (TRIM43)	
ENSG00000278283	ENSG00000278283.1	zinc finger protein 273 (ZNF273) pseudogene	
ENSG00000213558	ENSG00000213558.3	high mobility group nucleosomal binding domain 2 pseudogene 32 [Source:HGNC Symbol;Acc:HGNC:39403]	HMGN2P32
ENSG00000279541	ENSG00000279541.1	TEC	
ENSG00000234466	ENSG00000234466.1	HDGFL3 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:54965]	HDGFL3P1
ENSG00000217631	ENSG00000217631.1	zinc finger pseudogene	
ENSG00000238269	ENSG00000238269.9	PAGE family member 2B [Source:HGNC Symbol;Acc:HGNC:31805]	PAGE2B
ENSG00000231776	ENSG00000231776.5	long intergenic non-protein coding RNA 1611 [Source:HGNC Symbol;Acc:HGNC:51791]	LINC01611
ENSG00000136925	ENSG00000136925.15	thiosulfate sulfurtransferase like domain containing 2 [Source:HGNC Symbol;Acc:HGNC:30087]	TSTD2
ENSG00000287186	ENSG00000287186.1	novel transcript	
ENSG00000221878	ENSG00000221878.13	pregnancy specific beta-1-glycoprotein 7 [Source:HGNC Symbol;Acc:HGNC:9524]	PSG7
ENSG00000189398	ENSG00000189398.5	olfactory receptor family 7 subfamily E member 12 pseudogene [Source:HGNC Symbol;Acc:HGNC:8383]	OR7E12P
ENSG00000225572	ENSG00000225572.1	DOCK4 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:40876]	DOCK4-AS1
ENSG00000166492	ENSG00000166492.9	family with sequence similarity 86 member G, pseudogene [Source:HGNC Symbol;Acc:HGNC:42358]	FAM86GP
ENSG00000249481	ENSG00000249481.7	spermatogenesis associated serine rich 1 [Source:HGNC Symbol;Acc:HGNC:22957]	SPATS1
ENSG00000225308	ENSG00000225308.2	argininosuccinate synthetase 1 pseudogene 11 [Source:HGNC Symbol;Acc:HGNC:761]	ASS1P11
ENSG00000284605	ENSG00000284605.1	ectonucleotide pyrophosphatase/phosphodiesterase 7 pseudogene 15 [Source:HGNC Symbol;Acc:HGNC:55616]	ENPP7P15
ENSG00000254757	ENSG00000254757.1	novel transcript	
ENSG00000287906	ENSG00000287906.1	novel transcript	
ENSG00000287312	ENSG00000287312.1	novel transcript	
ENSG00000226425	ENSG00000226425.1	CYP26C1 divergent transcript [Source:HGNC Symbol;Acc:HGNC:55836]	CYP26C1-DT
ENSG00000255522	ENSG00000255522.1	small nuclear ribonucleoprotein polypeptide C pseudogene 5 [Source:HGNC Symbol;Acc:HGNC:49820]	SNRPCP5
ENSG00000228312	ENSG00000228312.1	glyceraldehyde 3 phosphate dehydrogenase pseudogene 45 [Source:HGNC Symbol;Acc:HGNC:37802]	GAPDHP45
ENSG00000270099	ENSG00000270099.1	novel transcript	
ENSG00000237226	ENSG00000237226.1	RPS3A pseudogene 39 [Source:HGNC Symbol;Acc:HGNC:35490]	RPS3AP39
ENSG00000183444	ENSG00000183444.10	olfactory receptor family 7 subfamily E member 38 pseudogene [Source:HGNC Symbol;Acc:HGNC:8411]	OR7E38P
ENSG00000186676	ENSG00000186676.3	eukaryotic translation elongation factor 1 gamma pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:44556]	EEF1GP1
ENSG00000223688	ENSG00000223688.2	ribosomal protein S24 pseudogene 14 [Source:HGNC Symbol;Acc:HGNC:35744]	RPS24P14
ENSG00000235716	ENSG00000235716.1	keratin 18 pseudogene 46 [Source:HGNC Symbol;Acc:HGNC:33416]	KRT18P46
ENSG00000230131	ENSG00000230131.6	long intergenic non-protein coding RNA 2641 [Source:HGNC Symbol;Acc:HGNC:54125]	LINC02641
ENSG00000255240	ENSG00000255240.6	novel transcript	
ENSG00000288040	ENSG00000288040.1	novel transcript	
ENSG00000278381	ENSG00000278381.1	novel pseudogene	
ENSG00000286539	ENSG00000286539.1	novel transcript	
ENSG00000227874	ENSG00000227874.1	GRAM domain containing 4 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:39653]	GRAMD4P1
ENSG00000188383	ENSG00000188383.8	glycerol-3-phosphate acyltransferase 2 pseudogene 2 [Source:HGNC Symbol;Acc:HGNC:52331]	GPAT2P2
ENSG00000214319	ENSG00000214319.2	CXADR pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:23770]	CXADRP1
ENSG00000279773	ENSG00000279773.1	TEC	
ENSG00000273692	ENSG00000273692.1	LONRF2 pseudogene 5 [Source:HGNC Symbol;Acc:HGNC:54501]	LONRF2P5
ENSG00000278618	ENSG00000278618.1	microRNA 8069 [Source:HGNC Symbol;Acc:HGNC:50836]	MIR8069
ENSG00000223973	ENSG00000223973.2	platelet activating factor acetylhydrolase 1b regulatory subunit 1 pseudogene 2 [Source:HGNC Symbol;Acc:HGNC:8578]	PAFAH1B1P2
ENSG00000229231	ENSG00000229231.1	fem-1 homolog A pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:17219]	FEM1AP1
ENSG00000224922	ENSG00000224922.1	novel transcript	
ENSG00000173231	ENSG00000173231.6	TERF1 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:16733]	TERF1P1
ENSG00000232797	ENSG00000232797.1	family with sequence similarity 207 member C, pseudogene [Source:HGNC Symbol;Acc:HGNC:42676]	FAM207CP
ENSG00000229203	ENSG00000229203.1	novel transcript	
